,Random Forest,Gradient Boosting,Logistic Regression,F-statistic,Mutual Information,Permutation Importance,Average
fg_pct,1.0,1.0,9.0,1.0,1.0,2.0,1.0
dreb,2.0,2.0,1.0,3.0,3.0,1.0,2.0
fgm,6.0,22.0,3.0,2.0,2.0,26.0,3.0
pts_off_turnovers,4.0,3.0,7.0,7.0,7.0,3.0,4.0
fg3_pct,3.0,7.0,24.0,5.0,5.0,9.0,5.0
ftm,8.0,5.0,4.0,11.0,10.0,5.0,6.0
opp_pts_off_turnovers,5.0,4.0,11.0,8.0,8.0,4.0,7.0
ast,11.0,18.0,17.0,4.0,4.0,24.0,8.0
fga,15.0,16.0,2.0,23.0,23.0,14.0,9.0
assist_to_turnover,10.0,12.0,26.0,6.0,6.0,17.0,10.0
stl,13.0,9.0,8.0,16.0,16.0,8.0,11.0
pace,9.0,6.0,10.0,25.0,22.0,6.0,12.0
opp_paint_pts,7.0,8.0,19.0,10.0,14.0,7.0,13.0
oreb,18.0,10.0,5.0,24.0,24.0,10.0,14.0
fg3m,26.0,22.0,6.0,13.0,9.0,19.0,15.0
fta,12.0,21.0,14.0,17.0,18.0,12.0,16.0
pf,14.0,11.0,15.0,18.0,17.0,11.0,17.0
blk,20.0,13.0,16.0,9.0,13.0,20.0,18.0
paint_pts,24.0,22.0,18.0,12.0,12.0,22.0,19.0
tov,25.0,22.0,12.0,19.0,20.0,25.0,20.0
opp_fast_break_pts,17.0,15.0,23.0,14.0,15.0,16.0,21.0
fg3a,21.0,20.0,13.0,26.0,25.0,18.0,22.0
fast_break_pts,22.0,22.0,22.0,15.0,11.0,23.0,23.0
ft_pct,16.0,17.0,25.0,20.0,19.0,13.0,24.0
second_chance_pts,19.0,14.0,20.0,21.0,21.0,15.0,25.0
opp_second_chance_pts,23.0,19.0,21.0,22.0,25.0,21.0,26.0
