,Random Forest,Gradient Boosting,Logistic Regression,F-statistic,Mutual Information,Permutation Importance,Average
fg_pct,1.0,1.0,0.33195426689954427,1.0,1.0,0.9718685420971936,0.883970468166123
dreb,0.7445326952675294,0.5993353658257622,1.0,0.5070333156422915,0.5298738592844233,1.0,0.7301292060033344
fgm,0.22169515413493496,0.0,0.7405751906692059,0.5408762172531085,0.5675899605326482,0.0,0.3451227537649829
pts_off_turnovers,0.25408562875457946,0.20292656865520417,0.3847966946889802,0.20982081759184326,0.24170993125940463,0.23778414772348483,0.25518729811224944
fg3_pct,0.2938875765334408,0.13350787969228856,0.023559269967035494,0.3631166866941771,0.45749782446560977,0.09352709819345364,0.22751605592433427
ftm,0.18592096428640162,0.16792039394541505,0.519316275595213,0.11309107340548825,0.1510837953360201,0.17112192520498617,0.21807573796225405
opp_pts_off_turnovers,0.23807614931244564,0.19470812893073963,0.2744849205869753,0.2029817580230635,0.21347773203043635,0.17865475634957637,0.21706390753887278
ast,0.15745319507332417,0.0023283024583823616,0.11328679788344484,0.44820790760412155,0.4688085013896937,0.025864942337177243,0.20265827445769063
fga,0.08707606434636447,0.004959111669141562,0.8822623885716505,0.009576533123451464,0.022436750560492054,0.0445303646423569,0.17514020215224282
assist_to_turnover,0.16155473633320175,0.04303298529448766,0.0,0.2509363461435171,0.45679928382759694,0.03986400906606222,0.15869789344414428
stl,0.09457658775607007,0.07327045800510125,0.36350450749206836,0.0819966965981239,0.10528367256016422,0.1033931071261916,0.1370041715896199
pace,0.17754780240051649,0.1422720043613063,0.28240328380408264,1.342533731209225e-05,0.023338823424114155,0.1462569162055862,0.12863870925548632
opp_paint_pts,0.19428391890765948,0.09787754085132463,0.08658857646656859,0.1139135868180102,0.12569531241255957,0.12585827611492537,0.12403620192850798
oreb,0.06813078825640659,0.05545295285383928,0.49109871037913383,0.005306685630480817,0.004102047842160099,0.0739950669955336,0.11634770865959239
fg3m,0.0,0.0,0.3934001741594421,0.11070561064473666,0.15304676517273452,0.03706419572028498,0.11570279094953305
fta,0.1107797558261532,0.00010450698148695897,0.22266679092951347,0.07494332949864653,0.07956656795989739,0.06619558696086915,0.09237608969276112
pf,0.0923261104335876,0.04791471361248374,0.15544126096465868,0.06208516111840956,0.08707107364066598,0.07072861809212687,0.08592782297698874
blk,0.05609608383828414,0.03241516676962228,0.14841821742817035,0.11436084467053007,0.12611729964841986,0.034664355709619045,0.0853453280107743
paint_pts,0.026983646006139523,0.0,0.11068206544001437,0.11197039554633596,0.13472282023797968,0.02806479568028772,0.06873728715179288
tov,0.003420112415965786,0.0,0.27100478508623016,0.053064058578641125,0.04399742634524953,0.02533164455702927,0.06613633783051931
opp_fast_break_pts,0.0750654766183493,0.010057981344080431,0.028898807879643485,0.1055556596783148,0.11819095144260039,0.04253049796680208,0.06338322915496508
fg3a,0.04344581449608154,0.0003157339239372042,0.2544677875335573,0.0,0.0,0.037464169055395985,0.05594891750149533
fast_break_pts,0.03115072188383622,0.0,0.032729176952426164,0.10524890105201792,0.1383513039044683,0.02706486234251026,0.05575749435587647
ft_pct,0.08257314038954273,0.002731072247751101,0.01715926996142333,0.04304548068736962,0.05432950558544525,0.04979668022131835,0.041605858182141735
second_chance_pts,0.05934329544135539,0.012035149420810022,0.07720769733739928,0.01544063057909995,0.02524500695955662,0.044197053529764385,0.03891147221133094
opp_second_chance_pts,0.029197082111366797,0.0006783946423596738,0.038850169516656534,0.01442619564613522,0.0,0.029398040130657496,0.01875831367452929
