,Random Forest,Gradient Boosting,Logistic Regression,F-statistic,Mutual Information,Permutation Importance,Average
dreb,1.0,1.0,5.0,1.0,1.0,1.0,1.0
ast,2.0,3.0,16.0,2.0,2.0,6.0,2.0
fg2m,6.0,6.0,4.0,4.0,4.0,4.0,3.0
pts_off_turnovers,3.0,2.0,8.0,5.0,5.0,2.0,4.0
assist_to_turnover,4.0,8.0,24.0,3.0,3.0,17.0,5.0
fg3m,10.0,7.0,2.0,11.0,7.0,7.0,6.0
ftm,7.0,4.0,6.0,9.0,9.0,5.0,7.0
fg3a,13.0,9.0,1.0,24.0,20.0,8.0,8.0
opp_pts_off_turnovers,9.0,10.0,11.0,6.0,6.0,13.0,9.0
pace,5.0,5.0,10.0,23.0,23.0,3.0,10.0
fg2a,14.0,14.0,3.0,21.0,23.0,11.0,11.0
opp_paint_pts,8.0,11.0,18.0,8.0,10.0,9.0,12.0
stl,17.0,13.0,9.0,14.0,16.0,12.0,13.0
opp_fast_break_pts,12.0,15.0,22.0,12.0,8.0,18.0,14.0
blk,18.0,16.0,15.0,7.0,11.0,14.0,15.0
fta,11.0,18.0,13.0,15.0,14.0,10.0,16.0
pf,16.0,12.0,14.0,16.0,18.0,15.0,17.0
paint_pts,20.0,21.0,17.0,10.0,13.0,23.0,18.0
ft_pct,15.0,21.0,23.0,18.0,12.0,16.0,19.0
fast_break_pts,19.0,21.0,21.0,13.0,17.0,24.0,20.0
tov,24.0,21.0,12.0,17.0,15.0,22.0,21.0
oreb,23.0,19.0,7.0,22.0,22.0,21.0,22.0
second_chance_pts,21.0,17.0,19.0,19.0,19.0,19.0,23.0
opp_second_chance_pts,22.0,20.0,20.0,20.0,21.0,20.0,24.0
